ID,TRADEDATE,OPEN,HIGH,LOW,CLOSE,VALUE
MICEXBMI,08/02/2017,1576.55,1579.73,1553.92,1560.29,36828469119
MICEXBMI,09/02/2017,1563.1,1564.85,1539.46,1549.07,38268273919
MICEXBMI,10/02/2017,1553.2,1554.83,1537.3,1540.78,32986797624
MICEXBMI,13/02/2017,1546.55,1549.64,1532.74,1540.2,30835955803
MICEXBMI,14/02/2017,1540,1540,1521.66,1526.21,30175656189
MICEXBMI,15/02/2017,1521.69,1536.33,1503.93,1523.01,40348210786
MICEXBMI,16/02/2017,1523.93,1531.04,1515.99,1531.04,29648392486
MICEXBMI,17/02/2017,1530.01,1531.38,1515.13,1517.05,31300698810
MICEXBMI,20/02/2017,1522.46,1522.73,1506.51,1510.51,25463244585
MICEXBMI,21/02/2017,1510.34,1522.22,1505.35,1516.73,26237026566
MICEXBMI,22/02/2017,1517.02,1518.76,1493.68,1501.58,32371458877
MICEXBMI,24/02/2017,1500.76,1500.76,1483.88,1491.93,25058615178
MICEXBMI,27/02/2017,1493.25,1494.83,1464.79,1465.64,34666973796
MICEXBMI,28/02/2017,1466.16,1466.16,1444.24,1450.71,61010155472
MICEXBMI,01/03/2017,1449.35,1470.73,1447.36,1468.14,35733352227
MICEXBMI,02/03/2017,1469.93,1479.93,1457.44,1460.53,40596852427
MICEXBMI,03/03/2017,1454.84,1466.03,1448.84,1466.03,32147497236
MICEXBMI,06/03/2017,1465.8,1476.62,1458.08,1459.44,27225523354
MICEXBMI,07/03/2017,1457.88,1459.04,1432.25,1443.2,35234726367
MICEXBMI,09/03/2017,1429.71,1439.33,1404.5,1406.31,59117932440
MICEXBMI,10/03/2017,1411.23,1416.69,1399.73,1406.35,40367005721
MICEXBMI,13/03/2017,1406.63,1425.5,1402.59,1424.66,28282880528
MICEXBMI,14/03/2017,1427.74,1437.46,1418.44,1425.41,34492537038
MICEXBMI,15/03/2017,1432.03,1437.54,1417.13,1419.51,28629825115
MICEXBMI,16/03/2017,1432.93,1439.65,1424.13,1435.18,50217300897
MICEXBMI,17/03/2017,1436.55,1457.45,1435.2,1451.21,44470362936
MICEXBMI,20/03/2017,1453.79,1461.56,1443.13,1455.88,31285388184
MICEXBMI,21/03/2017,1456.94,1473.09,1454.99,1459.52,35340800325
MICEXBMI,22/03/2017,1454.33,1468.73,1447.13,1468.73,37770414645
MICEXBMI,23/03/2017,1472.86,1476.82,1454.04,1461.57,32823585241
MICEXBMI,24/03/2017,1458.96,1462.83,1451.53,1453.8,21795551167
MICEXBMI,27/03/2017,1445.33,1445.33,1424.14,1434.75,26404109698
MICEXBMI,28/03/2017,1441.92,1448.44,1433.19,1448.44,25693762092
MICEXBMI,29/03/2017,1449.57,1451.95,1434.98,1442.31,21852119610
MICEXBMI,30/03/2017,1443.41,1444.44,1434.24,1440.98,25174085464
MICEXBMI,31/03/2017,1440.31,1440.31,1420.68,1422.69,24182260647
MICEXBMI,03/04/2017,1422.45,1435.62,1420.74,1431.72,20940985445
MICEXBMI,04/04/2017,1430.77,1445.36,1429.67,1443.84,20960319969
MICEXBMI,05/04/2017,1447.08,1465.96,1445.78,1465.54,33507671548
MICEXBMI,06/04/2017,1461.07,1466.82,1456.9,1464.63,23217841173
MICEXBMI,07/04/2017,1457.62,1460.35,1433.71,1440.13,35458247325
MICEXBMI,10/04/2017,1433.87,1435.18,1401.33,1405.37,40767750995
MICEXBMI,11/04/2017,1402.39,1421.51,1402.14,1410.32,33073264462
MICEXBMI,12/04/2017,1415.21,1415.85,1385.48,1388.94,30511624578
MICEXBMI,13/04/2017,1392.36,1393.63,1367.03,1386.77,40791473447
MICEXBMI,14/04/2017,1381.66,1383.77,1365.29,1366.82,12888154112
MICEXBMI,17/04/2017,1365.7,1386.85,1357.31,1385.69,20006349002
MICEXBMI,18/04/2017,1390.03,1390.15,1365.91,1370.04,28249999726
MICEXBMI,19/04/2017,1370.14,1378.82,1364.14,1367.66,25536010004
MICEXBMI,20/04/2017,1364.25,1378.75,1356.34,1378.75,35472547851
MICEXBMI,21/04/2017,1379.31,1394.82,1379.31,1387.3,31426506111
MICEXBMI,24/04/2017,1395.87,1412.12,1395.54,1412.12,35641505482
MICEXBMI,25/04/2017,1414.15,1427.61,1404.84,1425.18,33727331894
MICEXBMI,26/04/2017,1428.49,1448.13,1422.62,1445.17,36317790408
MICEXBMI,27/04/2017,1440.28,1442.55,1430.14,1434.23,40220104211
MICEXBMI,28/04/2017,1443.58,1447.48,1434.06,1438.11,36974535677
MICEXBMI,02/05/2017,1442.73,1457.63,1441.15,1445.56,31610086821
MICEXBMI,03/05/2017,1446.14,1446.14,1421.8,1422.38,35615457422
MICEXBMI,04/05/2017,1424.34,1437.45,1419.49,1426.32,31243440333
